                leaf          error rate             true nn           subdomain
               0.001              0.9881               0.219             972.819
               0.002              0.9879              0.3036             1945.65
               0.004              0.9866              0.4106              3891.3
               0.006              0.9866              0.4106              3891.3
               0.008              0.9851              0.5411             7782.59
                0.01              0.9851              0.5411             7782.59
               0.015              0.9851              0.5411             7782.59
                0.02               0.985              0.6633             15565.2
                0.03               0.985              0.6633             15565.2
                0.05              0.9845               0.768             31130.3
