                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.4981              0.4416                 418              1.9456
                0.03                0.05              0.4729               0.582                1383              1.6096
                0.06                0.05              0.4646              0.6551                2515             1.46368
                0.09                0.05              0.4646              0.6551                2515             1.46368
                 0.1                0.05              0.4538              0.7333                4574             1.33088
                0.13                0.05              0.4538              0.7333                4574             1.33088
                0.15                0.05              0.4538              0.7333                4574             1.33088
                0.17                0.05              0.4469              0.8094                8318                1.21
                0.19                0.05              0.4469              0.8094                8318                1.21
                0.21                0.05              0.4469              0.8094                8318                1.21
